cik	year	cat
1000285	2001	53
1000285	2001	54
1000285	2001	55
1000285	2001	57
1000285	2001	59
1000285	2001	60
1000285	2001	62
1000285	2001	565
1000285	2001	64
1000285	2001	67
1000285	2001	481
1000285	2001	73
1000285	2001	331
1000285	2001	79
1000285	2001	80
1000285	2001	594
1000285	2001	87
1000285	2001	603
1000285	2001	355
1000285	2001	357
1000285	2001	364
1000285	2001	621
1000285	2001	366
1000285	2001	61
1000285	2001	371
1000285	2001	631
1000285	2001	633
1000285	2001	63
1000285	2001	382
1000285	2001	641
1000285	2001	131
1000285	2001	153
1000285	2001	367
1000285	2001	283
1000285	2001	421
1000285	2001	679
1000285	2001	451
1000285	2001	737
1000285	2001	483
1000285	2001	492
1000285	2001	495
1000285	2001	504
1000285	2001	506
1000297	2001	15
1000297	2001	23
1000297	2001	25
1000297	2001	27
1000297	2001	541
1000297	2001	32
1000297	2001	35
1000297	2001	36
1000297	2001	37
1000297	2001	39
1000297	2001	42
1000297	2001	45
1000297	2001	48
1000297	2001	50
1000297	2001	51
1000297	2001	308
1000297	2001	53
1000297	2001	54
1000297	2001	55
1000297	2001	56
1000297	2001	57
1000297	2001	58
1000297	2001	59
1000297	2001	394
1000297	2001	62
1000297	2001	565
1000297	2001	64
1000297	2001	581
1000297	2001	481
1000297	2001	73
1000297	2001	80
1000297	2001	594
1000297	2001	87
1000297	2001	355
1000297	2001	357
1000297	2001	873
1000297	2001	874
1000297	2001	364
1000297	2001	621
1000297	2001	366
1000297	2001	61
1000297	2001	371
1000297	2001	631
1000297	2001	633
1000297	2001	63
1000297	2001	641
1000297	2001	138
1000297	2001	153
1000297	2001	367
1000297	2001	421
1000297	2001	284
1000297	2001	451
1000297	2001	208
1000297	2001	736
1000297	2001	737
1000297	2001	738
1000297	2001	483
1000297	2001	495
1000297	2001	504
1000297	2001	506
1000298	2001	10
1000298	2001	13
1000298	2001	15
1000298	2001	533
1000298	2001	23
1000298	2001	799
1000298	2001	32
1000298	2001	34
1000298	2001	42
1000298	2001	44
1000298	2001	48
1000298	2001	51
1000298	2001	53
1000298	2001	55
1000298	2001	59
1000298	2001	60
1000298	2001	62
1000298	2001	64
1000298	2001	67
1000298	2001	481
1000298	2001	331
1000298	2001	79
1000298	2001	80
1000298	2001	594
1000298	2001	87
1000298	2001	602
1000298	2001	603
1000298	2001	355
1000298	2001	364
1000298	2001	621
1000298	2001	61
1000298	2001	371
1000298	2001	631
1000298	2001	633
1000298	2001	63
1000298	2001	641
1000298	2001	131
1000298	2001	138
1000298	2001	153
1000298	2001	421
1000298	2001	679
1000298	2001	495
1000298	2001	504
1000298	2001	506
100030	2001	25
100030	2001	26
100030	2001	30
100030	2001	32
100030	2001	33
100030	2001	34
100030	2001	35
100030	2001	36
100030	2001	37
100030	2001	38
100030	2001	39
100030	2001	42
100030	2001	45
100030	2001	50
100030	2001	51
100030	2001	308
100030	2001	55
100030	2001	57
100030	2001	394
100030	2001	481
100030	2001	331
100030	2001	87
100030	2001	355
100030	2001	356
100030	2001	357
100030	2001	873
100030	2001	364
100030	2001	366
100030	2001	371
100030	2001	631
100030	2001	382
100030	2001	641
100030	2001	153
100030	2001	367
100030	2001	421
100030	2001	284
100030	2001	736
100030	2001	495
100030	2001	504
100030	2001	506
1000301	2001	10
1000301	2001	13
1000301	2001	15
1000301	2001	23
1000301	2001	799
1000301	2001	32
1000301	2001	42
1000301	2001	48
1000301	2001	53
1000301	2001	54
1000301	2001	55
1000301	2001	59
1000301	2001	60
1000301	2001	62
1000301	2001	64
1000301	2001	67
1000301	2001	481
1000301	2001	80
1000301	2001	594
1000301	2001	602
1000301	2001	603
1000301	2001	364
1000301	2001	621
1000301	2001	61
1000301	2001	631
1000301	2001	633
1000301	2001	63
1000301	2001	641
1000301	2001	131
1000301	2001	138
1000301	2001	153
1000301	2001	421
1000301	2001	679
1000301	2001	284
1000301	2001	451
1000301	2001	736
1000301	2001	483
1000301	2001	495
1000301	2001	504
1000301	2001	506
1000459	2001	10
1000459	2001	15
1000459	2001	533
1000459	2001	23
1000459	2001	27
1000459	2001	799
1000459	2001	32
1000459	2001	33
1000459	2001	34
1000459	2001	35
