gvkey	year	sics13	sid
1161	2001	367	6
1161	2002	367	4
1161	2002	367	6
1161	2003	367	7
1161	2003	367	8
1161	2004	367	7
1161	2004	367	8
1161	2004	367	10
1161	2005	367	7
1161	2005	367	8
1161	2005	367	10
1161	2006	367	7
1161	2006	367	12
1161	2006	367	13
1161	2006	367	14
1161	2007	367	7
1161	2007	367	14
1161	2008	367	7
1161	2008	367	13
1161	2009	367	7
1161	2009	367	19
1161	2010	367	7
1161	2011	367	7
1161	2011	367	13
1161	2012	367	7
1161	2013	367	7
1164	1996	481	5
1164	1997	481	5
1164	1998	481	6
1164	1998	481	7
1164	1998	481	9
1164	1998	874	10
1164	1999	481	6
1164	1999	481	7
1164	1999	481	9
1164	1999	737	11
1164	2000	481	6
1164	2000	481	7
1164	2000	481	9
1164	2000	737	11
1164	2001	481	7
1164	2001	481	13
1164	2004	481	17
1164	2004	481	18
1164	2004	481	19
1166	1996	355	1
1166	1997	355	1
1166	1998	355	2
1166	1998	355	3
1166	1999	355	2
1166	1999	355	3
1166	2000	355	2
1166	2000	355	3
1166	2001	355	2
1166	2001	355	3
1166	2002	355	3
1166	2003	355	3
1166	2004	355	3
1166	2005	355	3
1166	2006	355	2
1166	2006	355	3
1166	2007	355	2
1166	2007	355	3
1166	2008	355	3
1166	2009	355	2
1166	2009	355	3
1166	2010	355	3
1166	2011	355	2
1166	2011	355	3
1166	2012	355	3
1166	2013	355	2
1166	2013	355	3
1173	1996	381	1
1173	1997	381	1
1173	1998	381	1
1173	1999	381	1
1173	2000	381	1
1173	2001	381	1
1173	2002	381	1
1173	2003	381	1
1173	2004	381	1
1173	2005	381	1
1173	2006	381	1
1173	2007	381	1
1173	2008	381	1
1173	2009	381	1
1173	2010	381	1
1173	2011	381	1
1173	2012	381	1
1173	2013	381	1
1177	1996	632	17
1177	1996	637	18
1177	1996	631	19
1177	1996	631	21
1177	1996	621	22
1177	1997	632	17
1177	1997	637	18
1177	1997	631	19
1177	1997	631	21
1177	1997	621	22
1177	1998	632	17
1177	1998	637	18
1177	1998	631	19
1177	1998	631	21
1177	1998	621	22
1177	1999	632	17
1177	1999	637	18
1177	1999	631	19
1177	1999	631	21
1177	2000	632	17
1177	2000	637	18
1177	2001	631	13
1177	2001	632	17
1177	2001	637	18
1177	2002	631	13
1177	2002	632	17
1177	2002	637	18
1177	2003	631	13
1177	2003	632	17
1177	2003	637	18
1177	2004	631	13
1177	2004	632	17
1177	2004	637	18
1177	2005	631	13
1177	2005	632	17
1177	2005	637	18
1177	2006	631	13
1177	2006	632	17
1177	2006	637	18
1177	2007	631	13
1177	2007	632	17
1177	2007	637	18
1177	2008	631	13
1177	2008	632	17
1177	2008	637	18
1177	2009	631	13
1177	2009	632	17
1177	2009	637	18
1177	2010	631	13
1177	2010	632	17
1177	2010	637	18
1177	2011	631	13
1177	2011	632	17
1177	2011	637	18
1177	2012	631	13
1177	2012	632	17
1177	2012	637	18
1177	2013	631	13
1177	2013	632	17
1177	2013	637	18
1183	1996	614	3
1183	1996	552	4
1183	1997	614	3
1183	1998	614	3
1186	1996	104	1
1186	1997	104	1
1186	1998	104	1
1186	1999	104	1
1186	2000	104	1
1186	2001	104	1
1186	2002	104	1
1186	2003	104	1
1186	2004	104	1
1186	2005	104	1
1186	2006	104	1
1186	2007	104	1
1186	2008	104	1
1186	2009	104	2
1186	2009	104	3
1186	2009	104	4
1186	2010	104	2
1186	2010	104	3
1186	2010	104	4
1186	2011	104	2
1186	2011	104	3
1186	2011	104	4
1186	2012	104	2
1186	2012	104	3
1186	2012	104	4
1186	2013	104	6
1186	2013	104	7
1186	2013	104	8
1186	2013	104	9
1186	2013	104	11
1186	2013	104	12
1186	2013	104	13
1194	1996	603	0
1194	1997	603	0
1203	1996	473	1
1203	1997	473	1
1203	1998	473	0
1209	1996	281	5
1209	1996	355	7
1209	1996	499	8
1209	1997	286	2
1209	1997	281	5
1209	1997	355	9
1209	1997	499	10
1209	1998	286	2
1209	1998	281	5
1209	1998	355	9
1209	1999	286	2
1209	1999	281	11
1209	1999	355	12
1209	2000	286	2
1209	2000	281	11
1209	2000	355	12
1209	2001	286	2
1209	2001	281	11
1209	2001	355	12
1209	2002	286	2
1209	2002	281	11
1209	2003	286	2
1209	2003	281	11
1209	2003	355	12
1209	2004	286	2
1209	2004	281	11
1209	2004	355	12
1209	2005	286	2
1209	2005	281	11
1209	2005	355	12
1209	2006	286	2
1209	2006	355	12
1209	2006	281	15
1209	2006	281	16
1209	2006	809	17
1209	2007	286	2
1209	2007	355	12
1209	2007	281	15
1209	2007	809	17
1209	2008	355	12
1209	2008	281	14
1209	2008	281	15
1209	2008	281	16
1209	2009	355	12
1209	2009	281	14
1209	2009	281	15
1209	2009	281	16
1209	2010	355	12
1209	2010	281	14
1209	2010	281	15
1209	2011	281	15
1209	2012	355	12
1209	2012	281	15
1209	2013	355	12
1209	2013	281	14
1209	2013	281	15
1209	2013	281	16
1210	1996	451	1
1210	1997	451	2
1210	1997	458	3
1210	1997	451	4
1210	1998	451	2
1210	1998	458	3
1210	1998	451	4
1210	1998	372	5
1210	1999	451	2
1210	1999	458	3
1210	1999	372	5
1210	2000	451	2
1210	2000	458	3
1210	2000	372	5
1210	2001	451	2
1210	2001	458	3
1210	2001	372	5
1210	2002	451	2
1210	2002	458	3
1210	2002	372	5
1210	2003	451	2
1210	2003	372	5
1210	2004	451	2
1210	2004	372	5
1210	2005	451	2
1210	2005	372	5
1210	2006	451	2
1210	2006	372	5
1210	2007	451	2
1210	2007	372	5
1210	2008	451	2
1210	2008	372	5
1210	2009	451	2
1210	2009	372	5
1210	2009	372	7
1210	2010	451	2
1210	2010	372	5
1210	2010	372	7
1210	2011	451	2
1210	2011	372	5
1210	2011	372	7
1210	2012	451	2
1210	2012	372	5
1210	2012	372	7
1210	2013	451	2
1210	2013	372	5
1210	2013	372	7
1213	1996	451	1
1213	1997	451	1
1213	1998	451	1
1213	1999	451	1
1213	2000	451	1
1213	2001	451	1
1213	2002	451	1
1226	1996	131	1
1228	1996	356	5
1228	1996	641	6
1228	1996	504	7
1228	1997	356	4
1228	1997	356	5
1228	1997	504	7
1228	1998	356	5
1228	1998	504	7
1228	1999	356	5
1228	1999	504	7
1228	1999	356	8
1228	2000	357	9
1228	2001	357	9
1228	2002	357	9
1228	2002	367	10
1228	2003	357	9
1228	2003	366	10
1228	2004	357	9
1228	2004	366	10
1228	2005	357	9
1228	2005	366	10
1228	2006	357	9
1228	2006	366	10
1228	2007	357	9
1228	2007	366	10
1228	2007	738	12
1228	2008	357	9
1228	2008	366	10
1228	2008	738	12
1228	2009	366	10
1228	2009	738	12
1228	2010	738	12
1228	2011	999	0
1230	1996	451	2
1230	1996	451	3
1230	1997	451	3
1230	1998	451	2
1230	1998	451	3
1230	1999	451	2
1230	1999	451	3
1230	2000	451	2
1230	2000	451	3
1230	2001	451	2
1230	2001	451	3
1230	2002	451	2
1230	2002	451	3
1230	2003	451	2
1230	2003	451	3
1230	2004	451	2
1230	2004	451	3
1230	2005	451	2
1230	2005	451	3
1230	2006	451	2
1230	2006	451	3
1230	2007	451	2
1230	2007	451	3
1230	2008	451	2
1230	2008	451	3
1230	2009	451	2
1230	2009	451	3
1230	2010	451	2
1230	2010	451	3
1230	2011	451	2
1230	2011	451	3
1230	2011	451	7
1230	2012	451	2
1230	2012	451	3
1230	2012	451	7
1230	2013	451	2
1230	2013	451	3
1230	2013	451	7
1234	1996	492	1
1234	1996	308	2
1234	1997	384	0
1234	1998	384	2
1234	1999	384	2
1234	2000	384	0
1234	2001	384	0
1234	2002	384	2
1234	2003	384	2
1234	2004	384	2
1234	2005	384	0
1234	2006	384	2
1234	2007	384	2
1234	2008	384	0
1234	2009	384	0
1234	2010	384	2
1234	2011	384	2
1234	2012	384	2
1234	2013	384	0
1235	1996	225	1
1235	1997	225	1
1235	1998	225	3
1238	1996	461	7
1238	1996	131	8
1238	1997	461	7
1238	1997	131	8
1238	1998	131	9
1238	1998	131	10
1238	1998	131	11
1238	1998	461	12
1238	1998	492	13
1238	1999	131	10
1238	1999	131	11
1238	1999	461	12
1238	1999	492	13
1238	2000	131	10
1238	2000	131	11
1238	2000	461	12
1238	2000	492	13
1238	2001	131	10
1238	2001	131	11
1238	2001	461	12
1238	2001	492	13
1239	1996	284	7
1239	1996	284	8
1239	1996	599	9
1239	1997	284	7
1239	1997	284	8
1239	1997	599	9
1239	1998	284	7
1239	1998	284	8
1239	1998	599	9
1239	1999	284	7
1239	1999	284	8
1239	1999	599	9
1239	2000	284	7
1239	2000	284	8
1239	2000	599	9
1239	2001	284	7
1239	2001	284	8
1239	2001	599	9
1239	2002	284	7
1239	2002	284	8
1239	2002	599	9
1239	2003	284	10
1239	2003	599	11
1239	2004	284	10
1239	2004	599	11
1239	2005	284	10
1239	2005	599	11
1239	2006	284	10
1239	2006	599	11
1239	2007	284	12
1239	2007	284	13
1239	2008	284	14
1239	2008	284	15
1239	2009	284	14
1239	2009	284	15
1239	2010	284	14
1239	2010	284	15
1240	1996	541	1
1240	1997	541	1
1240	1998	541	1
1240	1999	541	1
1240	2000	541	1
1240	2001	541	1
1240	2002	541	1
1240	2003	541	1
1240	2004	541	1
1240	2005	541	1
1240	2006	541	1
1243	1996	333	5
1243	1997	333	5
1243	1998	281	6
1243	1998	333	7
1243	1998	335	8
1243	1998	335	9
1243	1999	335	8
1243	2000	333	10
1243	2000	335	11
1243	2000	335	12
1243	2000	738	13
1243	2001	333	10
1243	2001	335	11
1243	2001	335	12
1243	2001	267	13
1243	2002	333	10
1243	2002	267	13
1243	2002	281	14
1243	2002	335	15
1243	2003	333	10
1243	2003	267	13
1243	2003	335	15
1243	2004	333	10
1243	2004	267	13
1243	2004	335	15
1243	2004	335	17
1243	2005	333	10
1243	2005	267	13
1243	2005	281	14
1243	2005	335	15
1243	2006	333	10
1243	2006	267	13
1243	2006	281	14
1243	2006	335	15
1244	1996	287	1
1244	1997	287	1
1244	1998	287	1
1244	1999	287	1
1244	2000	287	1
1244	2001	287	2
1244	2001	287	3
1244	2002	287	2
1244	2002	287	3
1244	2003	287	2
1244	2003	287	3
1246	1996	504	23
1246	1997	504	23
1246	1998	504	23
1246	1999	504	26
1246	1999	504	27
1246	1999	275	28
1246	2000	504	26
1246	2000	504	27
1246	2001	504	26
1246	2001	504	27
1246	2002	504	26
1246	2002	504	27
1246	2003	504	26
1246	2003	504	27
1246	2004	504	26
1246	2004	504	27
1246	2005	504	26
1246	2005	504	27
1246	2006	504	26
1246	2006	504	27
1246	2007	504	26
1246	2007	504	27
1246	2008	504	0
1250	1996	366	1
1254	1996	651	4
1254	1996	206	6
1254	1996	442	7
1254	1996	440	9
1254	1997	651	4
1254	1997	206	6
1254	1997	442	7
1254	1997	440	9
1254	1998	655	4
1254	1998	206	6
1254	1998	442	7
1254	1998	440	9
1254	1999	655	4
1254	1999	206	6
1254	1999	442	7
1254	2000	655	4
1254	2000	206	6
1254	2000	442	7
1254	2001	655	4
1254	2001	206	6
1254	2001	442	7
1254	2002	655	4
1254	2002	206	6
1254	2002	442	7
1254	2003	651	4
1254	2003	206	6
1254	2003	442	7
1254	2004	651	4
1254	2004	206	6
1254	2004	442	7
1254	2005	651	4
1254	2005	206	6
1254	2005	442	7
1254	2006	651	4
1254	2006	206	6
1254	2006	442	7
1254	2007	651	4
1254	2007	206	6
1254	2007	442	7
1254	2008	651	4
1254	2008	206	6
1254	2008	442	7
1254	2009	651	4
1254	2009	206	6
1254	2009	442	7
1254	2010	651	4
1254	2010	206	6
1254	2010	442	7
1254	2011	206	6
1254	2011	442	10
1254	2011	401	11
1254	2011	651	12
1254	2011	655	13
1254	2012	442	10
1254	2012	401	11
1254	2013	442	10
1254	2013	401	11
1257	1996	679	5
1257	1997	679	5
1257	1998	679	5
1257	1999	679	5
1257	2000	679	5
1257	2001	679	5
1257	2002	679	5
